,X008.CEL,X009.CEL,X011.CEL,X013.CEL,X020.CEL,X021.CEL,X023.CEL,X025.CEL,X040.CEL,X053.CEL,X055.CEL,X056.CEL,X060.CEL,X062.CEL,X063.CEL,X064.CEL,X066.CEL,X067.CEL,X072.CEL,X073.CEL,X077.CEL,X080.CEL,X081.CEL,X082.CEL,X083.CEL,X084.CEL,X087.CEL,X089.CEL,X090.CEL,X092.CEL,X098.CEL,X099.CEL,X101.CEL,X104.CEL,X105.CEL,X107.CEL,X111.CEL,X112.CEL,X113.CEL,X117.CEL,X119.CEL,X120.CEL,X123.CEL,X126.CEL,X130.CEL,X131.CEL,X132.CEL,X133.CEL,X136.CEL,X138.CEL,X139.CEL,X141.CEL,X142.CEL,X144.CEL,X148.CEL,X149.CEL,X150.CEL,X152.CEL,X155.CEL,X157.CEL,X158.CEL,X161.CEL,X162.CEL,X163.CEL,X164.CEL,X168.CEL,X169.CEL,X171.CEL,X172.CEL,X173.CEL,X174.CEL,X176.CEL,X178.CEL,X179.CEL,X180.CEL,X182.CEL,X183.CEL,X185.CEL,X186.CEL,X187.CEL,X188.CEL,X189.CEL,X190.CEL,X194.CEL,X196.CEL,X198.CEL,X199.CEL,X201.CEL,X203.CEL,X204.CEL,X206.CEL,X207.CEL,X209.CEL,X210.CEL,X214.CEL,X216.CEL,X218.CEL,X219.CEL,X222.CEL,X223.CEL,X225.CEL,X228.CEL,X229.CEL,X233.CEL,X237.CEL,X240.CEL,X242.CEL,X243.CEL,X244.CEL,X246.CEL,X247.CEL,X250.CEL,X251.CEL,X252.CEL,X253.CEL,X254.CEL,X255.CEL,X256.CEL,X257.CEL,X258.CEL,X259.CEL,X260.CEL,X262.CEL,X270.CEL,X271.CEL,X275.CEL,X283.CEL,X291.CEL,X293.CEL,X299.CEL,X306.CEL,X310.CEL,X315.CEL,X319.CEL,X328.CEL,X332.CEL,X337.CEL,X351.CEL,X352.CEL,X353.CEL,X360.CEL,X362.CEL,X368.CEL,X372.CEL,X376.CEL,X378.CEL,X380.CEL,X384.CEL,X387.CEL,X388.CEL,X389.CEL,X393.CEL,X395.CEL,X405.CEL,X411.CEL,X415.CEL,X416.CEL,X417.CEL,X428.CEL,X431.CEL,X433.CEL,X434.CEL,X436.CEL,X437.CEL,X442.CEL,X443.CEL,X445.CEL,X446.CEL,X449.CEL,X452.CEL,X455.CEL,X458.CEL,X461.CEL,X462.CEL,X465.CEL,X466.CEL,X467.CEL,X468.CEL,X473.CEL,X483.CEL,X485.CEL,X487.CEL,X488.CEL,X489.CEL,X490.CEL,X494.CEL,X495.CEL,X496.CEL,X497.CEL,X509.CEL,X510.CEL,X512.CEL,X514.CEL,X515.CEL,X519.CEL,X520.CEL,X525.CEL,X529.CEL,X532.CEL,X535.CEL,X537.CEL,X540.CEL,X543.CEL,X547.CEL,X564.CEL,X565.CEL,X566.CEL,X567.CEL,X568.CEL,X584.CEL,X585.CEL,X601.CEL,X603.CEL,X610.CEL,X612.CEL,X615.CEL,X619.CEL,X627.CEL,X629.CEL,X631.CEL,X634.CEL,X635.CEL,X636.CEL,X648.CEL,X649.CEL,X651.CEL,X652.CEL,X656.CEL,X657.CEL,X662.CEL,X670.CEL,X691.CEL,X697.CEL,X704.CEL
0,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,0,-1,-1,1,0,0,-1,1,0,0,-1,-1,1,-1,1,1,1,1,1,1,1,0,1,0,1,-1,-1,0,-1,-1,1,0,1,0,-1,1,0,0,-1,1,0,1,0,-1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,-1,-1,0,-1,-1,1,0,1,1,0,1,-1,1,0,1,-1,0,0,1,-1,-1,0,1,1,0,-1,-1,1,1,0,-1,1,-1,-1,1,1,1,-1,1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,0,-1,1,1,0,0,0,0,0,-1,1,0,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,1,1,-1,-1,0,0,-1,0,0,-1,1,0,1,-1,-1,0,-1,1,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,1,-1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,-1,-1,1,1,1,1,0,-1,-1,1,0,1
1,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,0,-1,1,1,1,1,1,0,0,0,-1,0,-1,1,1,1,0,0,1,-1,1,1,1,0,1,1,1,0,0,-1,0,-1,0,1,-1,-1,1,1,1,0,-1,1,0,0,0,1,1,1,0,-1,1,1,1,0,1,1,-1,1,0,1,1,1,-1,1,-1,-1,0,-1,-1,0,0,1,-1,-1,1,0,0,0,0,-1,0,0,1,0,-1,1,1,1,0,-1,-1,1,1,0,-1,1,-1,-1,1,0,1,0,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,0,0,-1,1,-1,0,-1,1,-1,1,0,1,0,0,1,0,-1,0,-1,-1,-1,1,-1,1,1,1,0,0,1,-1,-1,-1,-1,0,0,1,0,0,1,0,-1,0,-1,1,1,0,-1,0,-1,-1,0,0,-1,1,1,1,0,-1,-1,-1,1,0,0,0,0,0,-1,1,0,1,0,-1,-1,0,1,1,0,0,1,1,1,-1,0,0,1,1,1,1,0,1,1,-1,1,0,0,0,-1,-1,0,1,1,1,0,-1,-1,0,-1,1
2,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,1,1,0,1,-1,-1,0,-1,1,-1,0,0,1,0,-1,1,-1,1,0,1,1,0,1,1,0,0,0,0,-1,0,0,-1,-1,0,0,1,0,-1,1,0,-1,0,1,0,1,-1,0,0,1,1,0,1,0,-1,1,0,1,1,1,0,1,-1,0,0,-1,-1,0,0,1,0,1,1,1,1,0,0,-1,1,0,1,0,0,1,0,1,1,-1,1,1,0,0,-1,1,-1,-1,0,-1,1,0,0,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,1,-1,1,0,-1,-1,1,0,1,0,0,1,0,0,0,-1,0,0,-1,-1,1,-1,1,1,1,0,0,-1,0,-1,-1,-1,0,0,1,0,0,1,0,0,0,-1,1,0,1,-1,0,-1,-1,-1,0,-1,1,0,1,0,0,0,-1,0,1,0,1,-1,1,-1,1,0,1,0,-1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,-1,-1,0,0,0,1,1,0,0,0,0,1
3,-1,0,0,0,0,-1,-1,-1,-1,0,-1,1,1,1,-1,0,1,1,1,1,0,0,0,-1,1,-1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,-1,-1,0,-1,0,0,-1,-1,0,1,0,0,-1,1,1,0,0,1,1,0,0,-1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,-1,0,0,-1,-1,0,0,1,-1,0,1,1,-1,0,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,0,0,1,0,0,1,-1,-1,0,-1,1,0,1,-1,0,0,1,-1,-1,-1,-1,1,-1,0,1,-1,1,0,0,-1,0,-1,1,-1,0,1,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,0,0,0,0,-1,-1,-1,0,0,1,0,1,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1,-1,1,0,1,0,-1,0,1,1,1,0,0,1,1,1,0,-1,0,1,1,0,0,0,1,1,0,1,0,-1,0,0,-1,-1,1,0,0,1,-1,0,0,-1,1
4,-1,0,0,-1,0,-1,-1,-1,-1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,-1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,-1,0,-1,-1,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,1,0,-1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,-1,-1,0,-1,-1,1,-1,1,-1,-1,1,0,0,0,-1,-1,0,0,1,0,-1,0,1,1,0,-1,-1,1,1,0,-1,1,0,0,1,0,1,0,1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,1,0,0,1,0,0,0,-1,0,0,-1,-1,1,-1,0,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,-1,0,-1,1,1,0,0,0,-1,-1,-1,0,-1,0,1,0,-1,-1,0,-1,0,0,0,0,-1,0,-1,1,-1,1,-1,-1,-1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,-1,1,0,0,1,0,0,0,-1,-1,0,1,1,0,0,-1,-1,0,-1,1
5,-1,1,-1,0,0,-1,-1,-1,-1,0,-1,1,1,0,-1,0,1,0,1,1,-1,-1,0,-1,0,-1,0,0,1,0,0,1,-1,1,1,1,0,1,1,1,0,0,-1,0,-1,0,1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,1,1,0,-1,1,0,1,0,1,0,-1,1,0,1,0,1,-1,1,-1,-1,0,-1,-1,0,-1,1,0,-1,1,0,0,0,0,-1,0,0,1,0,-1,1,1,1,0,-1,-1,1,0,0,-1,0,-1,-1,1,-1,1,0,1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,0,0,-1,0,0,1,0,1,0,0,1,0,0,1,0,-1,-1,1,-1,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,1,1,-1,0,-1,1,1,0,-1,0,0,-1,-1,0,-1,1,1,1,0,-1,0,-1,0,0,0,0,0,1,-1,1,0,1,0,-1,-1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,-1,-1,0,1,0,1,1,0,-1,0,-1,1
6,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,1,1,0,1,0,0,0,0,1,-1,0,0,1,0,-1,1,-1,1,1,1,1,0,0,1,-1,0,0,0,-1,0,1,-1,-1,1,0,1,0,-1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,-1,0,0,-1,-1,0,0,1,0,0,1,0,0,0,0,-1,1,0,1,0,0,1,1,1,0,-1,0,1,0,0,-1,0,-1,-1,1,0,1,0,1,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,0,-1,1,0,1,0,0,1,0,0,1,-1,0,0,-1,-1,1,-1,1,1,1,1,0,0,-1,-1,-1,-1,0,0,1,0,1,0,1,-1,0,-1,1,0,0,-1,0,-1,-1,-1,1,-1,0,0,1,0,-1,0,-1,1,1,0,1,0,1,-1,1,-1,1,0,-1,0,1,1,1,1,0,1,1,1,-1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,-1,-1,0,1,1,1,1,-1,-1,0,-1,1
7,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,1,1,1,1,0,0,0,-1,0,-1,0,0,1,0,0,1,-1,1,1,1,0,0,1,1,0,0,0,1,-1,0,1,-1,-1,1,0,1,0,-1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,-1,0,0,-1,-1,1,0,1,0,0,1,0,0,0,0,-1,1,0,1,0,-1,0,1,1,0,-1,0,1,1,-1,0,0,-1,-1,1,0,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,0,0,0,-1,0,-1,1,0,0,1,0,1,0,-1,0,0,-1,-1,1,0,0,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,0,1,-1,0,-1,-1,0,0,-1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,1,0,1,0,-1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1,-1,0,1,1,0,0,-1,-1,0,0,1
8,-1,1,-1,-1,0,0,-1,-1,-1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,-1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,-1,0,-1,0,0,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1,-1,0,0,-1,0,0,1,0,0,1,0,0,0,0,-1,1,0,1,0,-1,0,0,0,0,-1,0,1,0,-1,0,1,-1,0,0,0,1,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,1,-1,0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,1,0,-1,-1,0,0,1,1,1,0,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,-1,0,0,1,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,-1,1,0,1,1,-1,-1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,0,-1,0,0,-1,1
9,-1,0,0,0,1,-1,-1,0,0,0,0,1,1,0,-1,1,1,1,1,1,-1,-1,0,-1,1,0,1,0,0,0,1,1,0,1,1,0,-1,1,0,1,0,0,-1,0,-1,-1,1,-1,-1,0,1,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,1,1,0,0,0,-1,1,0,1,1,0,-1,1,-1,-1,0,-1,-1,0,-1,1,0,-1,1,1,-1,0,-1,-1,0,-1,1,0,-1,0,0,0,0,-1,-1,0,1,-1,-1,0,0,0,0,-1,1,0,0,-1,1,0,1,0,-1,-1,0,0,-1,-1,0,-1,1,0,0,-1,0,-1,1,-1,1,1,-1,1,0,1,0,-1,-1,0,1,0,0,1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,1,1,0,0,-1,1,1,1,-1,1,0,-1,-1,0,-1,1,1,0,0,0,0,-1,-1,0,-1,1,-1,0,-1,1,1,1,0,-1,0,-1,1,0,0,1,0,1,1,1,-1,-1,0,1,1,1,0,0,1,-1,1,0,-1,-1,-1,-1,0,0,0,1,1,-1,-1,0,0,1
