Regulon_ID,Regulator,Gene,Entrez_gene,IfCoexpDiseaseRelevantMutSig,GeneSymbol
24,ENSG00000196712,ENSG00000111679,5777,yes,PTPN6
24,ENSG00000196712,ENSG00000171522,5734,yes,PTGER4
24,ENSG00000196712,ENSG00000156711,5603,yes,MAPK13
24,ENSG00000196712,ENSG00000115956,5341,yes,PLEK
24,ENSG00000196712,ENSG00000137841,5330,yes,PLCB2
24,ENSG00000196712,ENSG00000011422,5329,yes,PLAUR
24,ENSG00000196712,ENSG00000004799,5166,yes,PDK4
24,ENSG00000196712,ENSG00000116701,4688,yes,NCF2
24,ENSG00000196712,ENSG00000254087,4067,yes,LYN
24,ENSG00000196712,ENSG00000168961,3965,yes,LGALS9
24,ENSG00000196712,ENSG00000160255,3689,yes,ITGB2
24,ENSG00000196712,ENSG00000161638,3678,yes,ITGA5
24,ENSG00000196712,ENSG00000115232,3676,yes,ITGA4
24,ENSG00000196712,ENSG00000115594,3554,yes,IL1R1
24,ENSG00000196712,ENSG00000027697,3459,yes,IFNGR1
24,ENSG00000196712,ENSG00000090339,3383,yes,ICAM1
24,ENSG00000196712,ENSG00000180353,3059,yes,HCLS1
24,ENSG00000196712,ENSG00000136732,2995,yes,GYPC
24,ENSG00000196712,ENSG00000030582,2896,yes,GRN
24,ENSG00000196712,ENSG00000021355,1992,yes,SERPINB1
24,ENSG00000196712,ENSG00000101160,1522,yes,CTSZ
24,ENSG00000196712,ENSG00000136867,1318,yes,SLC31A2
24,ENSG00000196712,ENSG00000160791,1234,yes,CCR5
24,ENSG00000196712,ENSG00000245848,1050,yes,CEBPA
24,ENSG00000196712,ENSG00000105383,945,yes,CD33
24,ENSG00000196712,ENSG00000158473,912,yes,CD1D
24,ENSG00000196712,ENSG00000184922,752,yes,FMNL1
24,ENSG00000196712,ENSG00000006534,221,yes,ALDH3B1
24,ENSG00000196712,ENSG00000112297,202,yes,AIM1
24,ENSG00000196712,ENSG00000282608,140,yes,ADORA3
24,ENSG00000196712,ENSG00000121281,113,yes,ADCY7
26,ENSG00000196712,ENSG00000024048,23304,yes,UBR2
26,ENSG00000196712,ENSG00000015171,10771,yes,ZMYND11
26,ENSG00000196712,ENSG00000169744,9079,yes,LDB2
26,ENSG00000196712,ENSG00000174444,6124,yes,RPL4
26,ENSG00000196712,ENSG00000100316,6122,yes,RPL3
26,ENSG00000196712,ENSG00000170802,3344,yes,FOXN2
26,ENSG00000196712,ENSG00000107779,657,yes,BMPR1A
27,ENSG00000196712,ENSG00000112378,64065,yes,PERP
27,ENSG00000196712,ENSG00000197702,55742,yes,PARVA
27,ENSG00000196712,ENSG00000137962,9411,yes,ARHGAP29
27,ENSG00000196712,ENSG00000118804,8987,yes,STBD1
27,ENSG00000196712,ENSG00000087494,5744,yes,PTHLH
27,ENSG00000196712,ENSG00000143320,1382,yes,CRABP2
28,ENSG00000196712,ENSG00000129450,27180,yes,SIGLEC9
28,ENSG00000196712,ENSG00000150687,11098,yes,PRSS23
28,ENSG00000196712,ENSG00000115009,6364,yes,CCL20
28,ENSG00000196712,ENSG00000166741,4837,yes,NNMT
28,ENSG00000196712,ENSG00000205403,3426,yes,CFI
28,ENSG00000196712,ENSG00000182326,716,yes,C1S
29,ENSG00000196712,ENSG00000120885,102465508,yes,CLU
29,ENSG00000196712,ENSG00000174628,124152,yes,IQCK
29,ENSG00000196712,ENSG00000114473,84223,yes,IQCG
29,ENSG00000196712,ENSG00000100228,9609,yes,RAB36
29,ENSG00000196712,ENSG00000135744,183,yes,AGT
31,ENSG00000261678,ENSG00000119655,100616211,yes,NPC2
31,ENSG00000261678,ENSG00000075420,64778,yes,FNDC3B
31,ENSG00000261678,ENSG00000138821,64116,yes,SLC39A8
31,ENSG00000261678,ENSG00000155307,64092,yes,SAMSN1
31,ENSG00000261678,ENSG00000137767,58472,yes,SQRDL
31,ENSG00000261678,ENSG00000113269,55819,yes,RNF130
31,ENSG00000261678,ENSG00000173068,54796,yes,BNC2
31,ENSG00000261678,ENSG00000023892,50619,yes,DEF6
31,ENSG00000261678,ENSG00000101347,25939,yes,SAMHD1
31,ENSG00000261678,ENSG00000185811,10320,yes,IKZF1
31,ENSG00000261678,ENSG00000130429,10095,yes,ARPC1B
31,ENSG00000261678,ENSG00000003402,8837,yes,CFLAR
31,ENSG00000261678,ENSG00000143162,8804,yes,CREG1
31,ENSG00000261678,ENSG00000141655,8792,yes,TNFRSF11A
31,ENSG00000261678,ENSG00000135604,8676,yes,STX11
31,ENSG00000261678,ENSG00000026297,8635,yes,RNASET2
31,ENSG00000261678,ENSG00000079277,8569,yes,MKNK1
31,ENSG00000261678,ENSG00000162511,7805,yes,LAPTM5
31,ENSG00000261678,ENSG00000175567,7351,yes,UCP2
31,ENSG00000261678,ENSG00000107562,6387,yes,CXCL12
31,ENSG00000261678,ENSG00000277377,5265,yes,SERPINA1
31,ENSG00000261678,ENSG00000135124,5025,yes,P2RX4
31,ENSG00000261678,ENSG00000131669,4814,yes,NINJ1
31,ENSG00000261678,ENSG00000182866,3932,yes,LCK
31,ENSG00000261678,ENSG00000160712,3570,yes,IL6R
31,ENSG00000261678,ENSG00000115594,3554,yes,IL1R1
31,ENSG00000261678,ENSG00000233209,3119,yes,HLA-DQB1
31,ENSG00000261678,ENSG00000000938,2268,yes,FGR
31,ENSG00000261678,ENSG00000106991,2022,yes,ENG
31,ENSG00000261678,ENSG00000138061,1545,yes,CYP1B1
31,ENSG00000261678,ENSG00000101160,1522,yes,CTSZ
31,ENSG00000261678,ENSG00000168421,399,yes,RHOH
31,ENSG00000261678,ENSG00000112297,202,yes,AIM1
32,ENSG00000261678,ENSG00000011028,9902,yes,MRC2
32,ENSG00000261678,ENSG00000164543,9263,yes,STK17A
32,ENSG00000261678,ENSG00000159200,1827,yes,RCAN1
32,ENSG00000261678,ENSG00000117519,1266,yes,CNN3
32,ENSG00000261678,ENSG00000170175,1140,yes,CHRNB1
32,ENSG00000261678,ENSG00000074410,771,yes,CA12
32,ENSG00000261678,ENSG00000104267,760,yes,CA2
34,ENSG00000125347,ENSG00000130592,102465993,yes,LSP1
34,ENSG00000125347,ENSG00000028137,102465836,yes,TNFRSF1B
34,ENSG00000125347,ENSG00000170776,102465803,yes,AKAP13
34,ENSG00000125347,ENSG00000119655,100616211,yes,NPC2
34,ENSG00000125347,ENSG00000159216,100506403,yes,RUNX1
34,ENSG00000125347,ENSG00000133561,474344,yes,GIMAP6
34,ENSG00000125347,ENSG00000162711,114548,yes,NLRP3
34,ENSG00000125347,ENSG00000006747,85477,yes,SCIN
34,ENSG00000125347,ENSG00000158270,81035,yes,COLEC12
34,ENSG00000125347,ENSG00000120280,80231,yes,CXorf21
34,ENSG00000125347,ENSG00000083223,79670,yes,ZCCHC6
34,ENSG00000125347,ENSG00000129667,79651,yes,RHBDF2
34,ENSG00000125347,ENSG00000163814,64866,yes,CDCP1
34,ENSG00000125347,ENSG00000075420,64778,yes,FNDC3B
34,ENSG00000125347,ENSG00000172243,64581,yes,CLEC7A
34,ENSG00000125347,ENSG00000110077,64231,yes,MS4A6A
34,ENSG00000125347,ENSG00000138821,64116,yes,SLC39A8
34,ENSG00000125347,ENSG00000155307,64092,yes,SAMSN1
34,ENSG00000125347,ENSG00000121064,59342,yes,SCPEP1
34,ENSG00000125347,ENSG00000137767,58472,yes,SQRDL
34,ENSG00000125347,ENSG00000158714,56833,yes,SLAMF8
34,ENSG00000125347,ENSG00000109667,56606,yes,SLC2A9
34,ENSG00000125347,ENSG00000075884,55843,yes,ARHGAP15
34,ENSG00000125347,ENSG00000138756,55589,yes,BMP2K
34,ENSG00000125347,ENSG00000124357,55577,yes,NAGK
34,ENSG00000125347,ENSG00000133574,55303,yes,GIMAP4
34,ENSG00000125347,ENSG00000070540,55062,yes,WIPI1
34,ENSG00000125347,ENSG00000173068,54796,yes,BNC2
34,ENSG00000125347,ENSG00000181631,53829,yes,P2RY13
34,ENSG00000125347,ENSG00000110934,51411,yes,BIN2
34,ENSG00000125347,ENSG00000187688,51393,yes,TRPV2
34,ENSG00000125347,ENSG00000101916,51311,yes,TLR8
34,ENSG00000125347,ENSG00000110446,51296,yes,SLC15A3
34,ENSG00000125347,ENSG00000089639,51291,yes,GMIP
34,ENSG00000125347,ENSG00000196664,51284,yes,TLR7
34,ENSG00000125347,ENSG00000099785,51257,yes,43892
34,ENSG00000125347,ENSG00000111729,50856,yes,CLEC4A
34,ENSG00000125347,ENSG00000023892,50619,yes,DEF6
34,ENSG00000125347,ENSG00000085514,29992,yes,PILRA
34,ENSG00000125347,ENSG00000095585,29760,yes,BLNK
34,ENSG00000125347,ENSG00000103490,29108,yes,PYCARD
34,ENSG00000125347,ENSG00000244509,27350,yes,APOBEC3C
34,ENSG00000125347,ENSG00000136305,27141,yes,CIDEB
34,ENSG00000125347,ENSG00000196511,27010,yes,TPK1
34,ENSG00000125347,ENSG00000135269,26136,yes,TES
34,ENSG00000125347,ENSG00000198624,26112,yes,CCDC69
34,ENSG00000125347,ENSG00000101347,25939,yes,SAMHD1
34,ENSG00000125347,ENSG00000162745,25903,yes,OLFML2B
34,ENSG00000125347,ENSG00000145779,25816,yes,TNFAIP8
34,ENSG00000125347,ENSG00000154589,23643,yes,LY96
34,ENSG00000125347,ENSG00000160223,23308,yes,ICOSLG
34,ENSG00000125347,ENSG00000119321,23307,yes,FKBP15
34,ENSG00000125347,ENSG00000004399,23129,yes,PLXND1
34,ENSG00000125347,ENSG00000118985,22936,yes,ELL2
34,ENSG00000125347,ENSG00000125810,22918,yes,CD93
34,ENSG00000125347,ENSG00000105339,22898,yes,DENND3
34,ENSG00000125347,ENSG00000091592,22861,yes,NLRP1
34,ENSG00000125347,ENSG00000105967,22797,yes,TFEC
34,ENSG00000125347,ENSG00000071073,11320,yes,MGAT4A
34,ENSG00000125347,ENSG00000167851,11314,yes,CD300A
34,ENSG00000125347,ENSG00000137491,11309,yes,SLCO2B1
34,ENSG00000125347,ENSG00000139278,11010,yes,GLIPR1
34,ENSG00000125347,ENSG00000278555,11006,yes,LILRB4
34,ENSG00000125347,ENSG00000042980,10863,yes,ADAM28
34,ENSG00000125347,ENSG00000277807,10859,yes,LILRB1
34,ENSG00000125347,ENSG00000112343,10475,yes,TRIM38
34,ENSG00000125347,ENSG00000216490,10437,yes,IFI30
34,ENSG00000125347,ENSG00000106100,10392,yes,NOD1
34,ENSG00000125347,ENSG00000185811,10320,yes,IKZF1
34,ENSG00000125347,ENSG00000140749,10261,yes,IGSF6
34,ENSG00000125347,ENSG00000145685,10184,yes,LHFPL2
34,ENSG00000125347,ENSG00000130429,10095,yes,ARPC1B
34,ENSG00000125347,ENSG00000140497,10066,yes,SCAMP2
34,ENSG00000125347,ENSG00000111252,10019,yes,SH2B3
34,ENSG00000125347,ENSG00000013364,9961,yes,MVP
34,ENSG00000125347,ENSG00000241399,9936,yes,CD302
34,ENSG00000125347,ENSG00000130755,9535,yes,GMFG
34,ENSG00000125347,ENSG00000154734,9510,yes,ADAMTS1
34,ENSG00000125347,ENSG00000131370,9467,yes,SH3BP5
34,ENSG00000125347,ENSG00000112799,9450,yes,LY86
34,ENSG00000125347,ENSG00000110031,9404,yes,LPXN
34,ENSG00000125347,ENSG00000177575,9332,yes,CD163
34,ENSG00000125347,ENSG00000155465,9056,yes,SLC7A7
34,ENSG00000125347,ENSG00000003402,8837,yes,CFLAR
34,ENSG00000125347,ENSG00000099250,8829,yes,NRP1
34,ENSG00000125347,ENSG00000143162,8804,yes,CREG1
34,ENSG00000125347,ENSG00000141655,8792,yes,TNFRSF11A
34,ENSG00000125347,ENSG00000239697,8742,yes,TNFSF12
34,ENSG00000125347,ENSG00000019169,8685,yes,MARCO
34,ENSG00000125347,ENSG00000135604,8676,yes,STX11
34,ENSG00000125347,ENSG00000026297,8635,yes,RNASET2
34,ENSG00000125347,ENSG00000079277,8569,yes,MKNK1
34,ENSG00000125347,ENSG00000140030,8477,yes,GPR65
34,ENSG00000125347,ENSG00000162511,7805,yes,LAPTM5
34,ENSG00000125347,ENSG00000086730,7462,yes,LAT2
34,ENSG00000125347,ENSG00000111424,7421,yes,VDR
34,ENSG00000125347,ENSG00000187554,7100,yes,TLR5
34,ENSG00000125347,ENSG00000137462,7097,yes,TLR2
34,ENSG00000125347,ENSG00000174125,7096,yes,TLR1
34,ENSG00000125347,ENSG00000137801,7057,yes,THBS1
34,ENSG00000125347,ENSG00000163513,7048,yes,TGFBR2
34,ENSG00000125347,ENSG00000059377,6916,yes,TBXAS1
34,ENSG00000125347,ENSG00000162367,6886,yes,TAL1
34,ENSG00000125347,ENSG00000057252,6646,yes,SOAT1
34,ENSG00000125347,ENSG00000142583,6518,yes,SLC2A5
34,ENSG00000125347,ENSG00000155926,6503,yes,SLA
34,ENSG00000125347,ENSG00000160691,6464,yes,SHC1
34,ENSG00000125347,ENSG00000110876,6404,yes,SELPLG
34,ENSG00000125347,ENSG00000107562,6387,yes,CXCL12
34,ENSG00000125347,ENSG00000172724,6363,yes,CCL19
34,ENSG00000125347,ENSG00000163191,6282,yes,S100A11
34,ENSG00000125347,ENSG00000148908,6001,yes,RGS10
34,ENSG00000125347,ENSG00000162924,5966,yes,REL
34,ENSG00000125347,ENSG00000116473,5906,yes,RAP1A
34,ENSG00000125347,ENSG00000128340,5880,yes,RAC2
34,ENSG00000125347,ENSG00000069974,5873,yes,RAB27A
34,ENSG00000125347,ENSG00000262418,5788,yes,PTPRC
34,ENSG00000125347,ENSG00000073756,5743,yes,PTGS2
34,ENSG00000125347,ENSG00000171522,5734,yes,PTGER4
34,ENSG00000125347,ENSG00000156711,5603,yes,MAPK13
34,ENSG00000125347,ENSG00000122862,5552,yes,SRGN
34,ENSG00000125347,ENSG00000132170,5468,yes,PPARG
34,ENSG00000125347,ENSG00000197943,5336,yes,PLCG2
34,ENSG00000125347,ENSG00000011422,5329,yes,PLAUR
34,ENSG00000125347,ENSG00000171608,5293,yes,PIK3CD
34,ENSG00000125347,ENSG00000277377,5265,yes,SERPINA1
34,ENSG00000125347,ENSG00000135124,5025,yes,P2RX4
34,ENSG00000125347,ENSG00000173391,4973,yes,OLR1
34,ENSG00000125347,ENSG00000116701,4688,yes,NCF2
34,ENSG00000125347,ENSG00000065534,4638,yes,MYLK
34,ENSG00000125347,ENSG00000100345,4627,yes,MYH9
34,ENSG00000125347,ENSG00000183486,4600,yes,MX2
34,ENSG00000125347,ENSG00000142347,4542,yes,MYO1F
34,ENSG00000125347,ENSG00000163563,4332,yes,MNDA
34,ENSG00000125347,ENSG00000131446,4245,yes,MGAT1
34,ENSG00000125347,ENSG00000100060,4242,yes,MFNG
34,ENSG00000125347,ENSG00000104774,4125,yes,MAN2B1
34,ENSG00000125347,ENSG00000054219,4065,yes,LY75
34,ENSG00000125347,ENSG00000119681,4053,yes,LTBP2
34,ENSG00000125347,ENSG00000129038,4016,yes,LOXL1
34,ENSG00000125347,ENSG00000107798,3988,yes,LIPA
34,ENSG00000125347,ENSG00000168961,3965,yes,LGALS9
34,ENSG00000125347,ENSG00000043462,3937,yes,LCP2
34,ENSG00000125347,ENSG00000136167,3936,yes,LCP1
34,ENSG00000125347,ENSG00000091136,3912,yes,LAMB1
34,ENSG00000125347,ENSG00000278154,3903,yes,LAIR1
34,ENSG00000125347,ENSG00000139626,3695,yes,ITGB7
34,ENSG00000125347,ENSG00000160255,3689,yes,ITGB2
34,ENSG00000125347,ENSG00000005844,3683,yes,ITGAL
34,ENSG00000125347,ENSG00000161638,3678,yes,ITGA5
34,ENSG00000125347,ENSG00000128604,3663,yes,IRF5
34,ENSG00000125347,ENSG00000150782,3606,yes,IL18
34,ENSG00000125347,ENSG00000131724,3597,yes,IL13RA1
34,ENSG00000125347,ENSG00000110324,3587,yes,IL10RA
34,ENSG00000125347,ENSG00000160712,3570,yes,IL6R
34,ENSG00000125347,ENSG00000147168,3561,yes,IL2RG
34,ENSG00000125347,ENSG00000115594,3554,yes,IL1R1
34,ENSG00000125347,ENSG00000197081,3482,yes,IGF2R
34,ENSG00000125347,ENSG00000027697,3459,yes,IFNGR1
34,ENSG00000125347,ENSG00000140968,3394,yes,IRF8
34,ENSG00000125347,ENSG00000136630,3142,yes,HLX
34,ENSG00000125347,ENSG00000233209,3119,yes,HLA-DQB1
34,ENSG00000125347,ENSG00000101336,3055,yes,HCK
34,ENSG00000125347,ENSG00000136732,2995,yes,GYPC
34,ENSG00000125347,ENSG00000030582,2896,yes,GRN
34,ENSG00000125347,ENSG00000135677,2799,yes,GNS
34,ENSG00000125347,ENSG00000060558,2769,yes,GNA15
34,ENSG00000125347,ENSG00000143641,2590,yes,GALNT2
34,ENSG00000125347,ENSG00000082074,2533,yes,FYB
34,ENSG00000125347,ENSG00000075426,2355,yes,FOSL2
34,ENSG00000125347,ENSG00000115414,2335,yes,FN1
34,ENSG00000125347,ENSG00000076258,2329,yes,FMO4
34,ENSG00000125347,ENSG00000000938,2268,yes,FGR
34,ENSG00000125347,ENSG00000143226,2212,yes,FCGR2A
34,ENSG00000125347,ENSG00000158869,2207,yes,FCER1G
34,ENSG00000125347,ENSG00000185862,2124,yes,EVI2B
34,ENSG00000125347,ENSG00000106991,2022,yes,ENG
34,ENSG00000125347,ENSG00000021355,1992,yes,SERPINB1
34,ENSG00000125347,ENSG00000155850,1836,yes,SLC26A2
34,ENSG00000125347,ENSG00000134755,1824,yes,DSC2
34,ENSG00000125347,ENSG00000153071,1601,yes,DAB2
34,ENSG00000125347,ENSG00000165168,1536,yes,CYBB
34,ENSG00000125347,ENSG00000101160,1522,yes,CTSZ
34,ENSG00000125347,ENSG00000163131,1520,yes,CTSS
34,ENSG00000125347,ENSG00000103811,1512,yes,CTSH
34,ENSG00000125347,ENSG00000164733,1508,yes,CTSB
34,ENSG00000125347,ENSG00000121552,1475,yes,CSTA
34,ENSG00000125347,ENSG00000119535,1441,yes,CSF3R
34,ENSG00000125347,ENSG00000100122,1414,yes,CRYBB1
