Gene	Evidence	Disease	Title	PMID	Year	Type
APP	"cyclooxygenase-2 (COX-2), cytosolic phospholipase, interleukin-1(IL-1), and the -amyloid precursor protein of proinflammatory and neurodegenerative gene were found to be upregulated in the American Tissue Culture Collection of glioma and glioblastoma. Therefore, increasing _APP and proinflammatory expression in glioma and glioblastoma would understand APP–COX-2–CPL–IL-1 signaling and provide a therapeutic strategy. "	GBM	Molecular Characteristics of Amyloid Precursor Protein (APP) and Its Effects in Cancer	34066808	2021	Publication
APP	Upregulation of beta-amyloid precursor protein expression in glioblastoma multiforme	GBM	Upregulation of beta-amyloid precursor protein expression in glioblastoma multiforme	18521005	2008	Publication
APP	Accumulation of Innate Amyloid Beta Peptide in Glioblastoma Tumors	GBM	Accumulation of Innate Amyloid Beta Peptide in Glioblastoma Tumors	31137462	2019	Publication
"FNTA,FNTB"	"Cell viability in cells following shRNA-induced knockdown of FNTA and RabGGTA demonstrates decreased viability only after RabGGTA knockdown (U87 cell viability 99.3%±4.0% Vs. 27.3%±5.1%, p=0.002) but not FNTA (99.3% ±4.0% Vs. 103.1%±5.6%, p=0.24). GBM patients' primary cell lines SK102 and SK262 also have similar results."	GBM	Anti-cancer effects of nitrogen-containing bisphosphonates on human cancer cells	27462771	2016	Publication
"GPD2,NDUFA13"	"When patients were stratified by low versus high GPD2 pT10 levels, patient survival was better with lower GPD2 pT10 levels (Figure 6C). When patients were stratified by tumor grade, patient_derived grade IV tumors exhibited higher levels of GPD2 pT10 (but not GPD2 levels) compared to grade I/II tumors (Figure 6D). This analysis of patient_derived tumors demonstrates the clinical significance of GPD2 pT10, whose elevated levels correlated with unfavorable patient outcomes and higher tumor grade."	GBM	"Tumor-associated macrophage interleukin-_ promotes glycerol-3-phosphate dehydrogenase activation, glycolysis and tumorigenesis in glioma cells"	32259365	2020	Publication
GSR	"Carmustine implantation in resection cavity provides survival benefit for GBM patients, and it may be a promising supplement to standard therapeutic protocol by offering a bridge between surgical resection and onset of TMZ therapy."	GBM	Carmustine as a Supplementary Therapeutic Option for Glioblastoma: A Systematic Review and Meta-Analysis	33041980	2020	Publication
GSR	"The expression of glutathione reductase (GSR), was higher in TMZ-resistant cells than in sensitive cells. Silencing GSR in drug-resistant cells improved the sensitivity of cells to TMZ or cisplatin. "	GBM	Glutathione reductase mediates drug resistance in glioblastoma cells by regulating redox homeostasis	29105080	2018	Publication
GSR	"We showed that upon TMZ treatment there is an induction of the nuclear factor erythroid 2-related factor 2 (NRF2), which is the main antioxidant transcription factor regulator in human cells. This is accompanied by an enhancement of glutathione (GSH) concentration in the tumor cells."	GBM	NRF2 and glutathione are key resistance mediators to temozolomide in glioma and melanoma cells	27344172	2016	Publication
GSR	"The present disclosure teaches that glioma cells are dependent on system Xc for cystine uptake. Pharmacological inhibition of system Xc causes a rapid depletion of intracellular glutathione, resulting in decreased cell growth."	GBM	Method for treating glioma	WO2006049957A2	2005	Patent
VEGFA	"bevacizumab has been shown to be effective in combination with irinotecan for recurrent high grade glioma with a radiographic response noted in around 60% of patients, and a 6-month overall survival of 77% in patients treated with this regimen 10, 11. Other phase II trials have shown and confirmed that bevacizumab as a single agent or in combination with irinotecan are active and tolerable in patients with recurrent glioblastoma 12, 13."	GBM	"The Prognostic Significance of Combining VEGFA, FLT1 and KDR mRNA Expressions in Brain Tumors"	26284131	2015	Publication
